🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1219170it [00:39,  7.17it/s]   FCA: α_attn_eff=1.5471 α_ffn_eff=2.5492 φ_l=0.0368 scale=0.9925
Training: 1219171it [00:39,  7.31it/s]   FCA: α_attn_eff=1.5398 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1219172it [00:40,  7.39it/s]   FCA: α_attn_eff=1.5295 α_ffn_eff=2.5202 φ_l=0.0368 scale=0.9812
Training: 1219173it [00:40,  7.47it/s]   FCA: α_attn_eff=1.5486 α_ffn_eff=2.5516 φ_l=0.0368 scale=0.9934
Training: 1219174it [00:40,  7.54it/s]   FCA: α_attn_eff=1.5369 α_ffn_eff=2.5323 φ_l=0.0368 scale=0.9859
Training: 1219175it [00:40,  7.58it/s]   FCA: α_attn_eff=1.5222 α_ffn_eff=2.5081 φ_l=0.0368 scale=0.9765
Training: 1219176it [00:40,  6.48it/s]   FCA: α_attn_eff=1.5252 α_ffn_eff=2.5129 φ_l=0.0368 scale=0.9784
Training: 1219177it [00:40,  6.95it/s]   FCA: α_attn_eff=1.5414 α_ffn_eff=2.5395 φ_l=0.0368 scale=0.9887
Training: 1219178it [00:40,  7.16it/s]   FCA: α_attn_eff=1.5194 α_ffn_eff=2.5033 φ_l=0.0368 scale=0.9746
Training: 1219179it [00:41,  7.32it/s]   FCA: α_attn_eff=1.5384 α_ffn_eff=2.5347 φ_l=0.0368 scale=0.9868
Training: 1219180it [00:41,  7.42it/s]   FCA: α_attn_eff=1.5296 α_ffn_eff=2.5202 φ_l=0.0368 scale=0.9812
Training: 1219181it [00:41,  7.46it/s]   FCA: α_attn_eff=1.5531 α_ffn_eff=2.5589 φ_l=0.0368 scale=0.9962
Training: 1219182it [00:41,  7.49it/s]   FCA: α_attn_eff=1.5414 α_ffn_eff=2.5395 φ_l=0.0368 scale=0.9887
Training: 1219183it [00:41,  7.54it/s]   FCA: α_attn_eff=1.5428 α_ffn_eff=2.5419 φ_l=0.0368 scale=0.9897
Training: 1219184it [00:41,  6.48it/s]   FCA: α_attn_eff=1.5532 α_ffn_eff=2.5588 φ_l=0.0368 scale=0.9962
Training: 1219185it [00:41,  6.94it/s]   FCA: α_attn_eff=1.5283 α_ffn_eff=2.5178 φ_l=0.0368 scale=0.9802
Training: 1219186it [00:42,  7.12it/s]   FCA: α_attn_eff=1.5341 α_ffn_eff=2.5274 φ_l=0.0368 scale=0.9840
Training: 1219187it [00:42,  7.24it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5516 φ_l=0.0368 scale=0.9934
Training: 1219188it [00:42,  7.36it/s]   FCA: α_attn_eff=1.5327 α_ffn_eff=2.5250 φ_l=0.0368 scale=0.9831
Training: 1219189it [00:42,  7.39it/s]   FCA: α_attn_eff=1.5268 α_ffn_eff=2.5153 φ_l=0.0368 scale=0.9793
Training: 1219190it [00:42,  7.49it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5516 φ_l=0.0368 scale=0.9934
Training: 1219191it [00:42,  7.53it/s]   FCA: α_attn_eff=1.5444 α_ffn_eff=2.5443 φ_l=0.0368 scale=0.9906
Training: 1219192it [00:42,  6.46it/s]   FCA: α_attn_eff=1.5533 α_ffn_eff=2.5588 φ_l=0.0368 scale=0.9962
Training: 1219193it [00:43,  6.91it/s]   FCA: α_attn_eff=1.5298 α_ffn_eff=2.5201 φ_l=0.0368 scale=0.9812
Training: 1219194it [00:43,  7.12it/s]   FCA: α_attn_eff=1.5313 α_ffn_eff=2.5226 φ_l=0.0368 scale=0.9821
Training: 1219195it [00:43,  7.27it/s]   FCA: α_attn_eff=1.5401 α_ffn_eff=2.5370 φ_l=0.0368 scale=0.9878
Training: 1219196it [00:43,  7.34it/s]   FCA: α_attn_eff=1.5474 α_ffn_eff=2.5491 φ_l=0.0368 scale=0.9925
Training: 1219197it [00:43,  7.43it/s]   FCA: α_attn_eff=1.5372 α_ffn_eff=2.5322 φ_l=0.0368 scale=0.9859
Training: 1219198it [00:43,  7.39it/s]   FCA: α_attn_eff=1.5504 α_ffn_eff=2.5540 φ_l=0.0368 scale=0.9944
Training: 1219199it [00:43,  7.44it/s]   FCA: α_attn_eff=1.5518 α_ffn_eff=2.5564 φ_l=0.0368 scale=0.9953
Training: 1219200it [00:44,  6.42it/s]   FCA: α_attn_eff=1.5446 α_ffn_eff=2.5443 φ_l=0.0368 scale=0.9906
Training: 1219201it [00:44,  6.78it/s]   FCA: α_attn_eff=1.5285 α_ffn_eff=2.5177 φ_l=0.0368 scale=0.9802
Training: 1219202it [00:44,  6.99it/s]   FCA: α_attn_eff=1.5270 α_ffn_eff=2.5153 φ_l=0.0368 scale=0.9793
Training: 1219203it [00:44,  7.18it/s]   FCA: α_attn_eff=1.5431 α_ffn_eff=2.5418 φ_l=0.0368 scale=0.9897
Training: 1219204it [00:44,  7.21it/s]   FCA: α_attn_eff=1.5475 α_ffn_eff=2.5491 φ_l=0.0368 scale=0.9925
Training: 1219205it [00:44,  7.27it/s]   FCA: α_attn_eff=1.5475 α_ffn_eff=2.5491 φ_l=0.0368 scale=0.9925
Training: 1219206it [00:44,  7.26it/s]   FCA: α_attn_eff=1.5431 α_ffn_eff=2.5418 φ_l=0.0368 scale=0.9897
Training: 1219207it [00:45,  7.36it/s]   FCA: α_attn_eff=1.5270 α_ffn_eff=2.5153 φ_l=0.0368 scale=0.9793
Training: 1219208it [00:45,  6.27it/s]   FCA: α_attn_eff=1.5300 α_ffn_eff=2.5201 φ_l=0.0368 scale=0.9812
Training: 1219209it [00:45,  6.75it/s]   FCA: α_attn_eff=1.5314 α_ffn_eff=2.5225 φ_l=0.0368 scale=0.9821
Training: 1219210it [00:45,  6.96it/s]   FCA: α_attn_eff=1.5300 α_ffn_eff=2.5201 φ_l=0.0368 scale=0.9812
Training: 1219211it [00:45,  7.14it/s]   FCA: α_attn_eff=1.5417 α_ffn_eff=2.5394 φ_l=0.0368 scale=0.9887
Training: 1219212it [00:45,  7.30it/s]   FCA: α_attn_eff=1.5402 α_ffn_eff=2.5370 φ_l=0.0368 scale=0.9878
Training: 1219213it [00:45,  7.41it/s]   FCA: α_attn_eff=1.5490 α_ffn_eff=2.5515 φ_l=0.0368 scale=0.9934
Training: 1219214it [00:45,  7.48it/s]   FCA: α_attn_eff=1.5490 α_ffn_eff=2.5515 φ_l=0.0368 scale=0.9934
Training: 1219215it [00:46,  7.53it/s]   FCA: α_attn_eff=1.5417 α_ffn_eff=2.5394 φ_l=0.0368 scale=0.9887
Training: 1219216it [00:46,  6.15it/s]   FCA: α_attn_eff=1.5329 α_ffn_eff=2.5248 φ_l=0.0368 scale=0.9831
Training: 1219217it [00:46,  6.61it/s]   FCA: α_attn_eff=1.5432 α_ffn_eff=2.5417 φ_l=0.0368 scale=0.9897
Training: 1219218it [00:46,  6.89it/s]   FCA: α_attn_eff=1.5373 α_ffn_eff=2.5321 φ_l=0.0368 scale=0.9859
Training: 1219219it [00:46,  7.07it/s]   FCA: α_attn_eff=1.5403 α_ffn_eff=2.5369 φ_l=0.0368 scale=0.9878
Training: 1219220it [00:46,  7.25it/s]   FCA: α_attn_eff=1.5505 α_ffn_eff=2.5538 φ_l=0.0368 scale=0.9944
Training: 1219221it [00:47,  7.39it/s]   FCA: α_attn_eff=1.5476 α_ffn_eff=2.5490 φ_l=0.0368 scale=0.9925
Training: 1219222it [00:47,  7.48it/s]   FCA: α_attn_eff=1.5491 α_ffn_eff=2.5514 φ_l=0.0368 scale=0.9934
Training: 1219223it [00:47,  7.53it/s]   FCA: α_attn_eff=1.5271 α_ffn_eff=2.5152 φ_l=0.0368 scale=0.9793
Training: 1219224it [00:47,  6.48it/s]   FCA: α_attn_eff=1.5462 α_ffn_eff=2.5466 φ_l=0.0368 scale=0.9915
Training: 1219225it [00:47,  6.94it/s]   FCA: α_attn_eff=1.5491 α_ffn_eff=2.5514 φ_l=0.0368 scale=0.9934
Training: 1219226it [00:47,  7.15it/s]   FCA: α_attn_eff=1.5506 α_ffn_eff=2.5538 φ_l=0.0368 scale=0.9944
Training: 1219227it [00:47,  7.32it/s]   FCA: α_attn_eff=1.5476 α_ffn_eff=2.5490 φ_l=0.0368 scale=0.9925
Training: 1219228it [00:47,  7.45it/s]   FCA: α_attn_eff=1.5506 α_ffn_eff=2.5538 φ_l=0.0368 scale=0.9944
Training: 1219229it [00:48,  7.48it/s]   FCA: α_attn_eff=1.5535 α_ffn_eff=2.5586 φ_l=0.0368 scale=0.9962
Training: 1219230it [00:48,  7.50it/s]   FCA: α_attn_eff=1.5506 α_ffn_eff=2.5538 φ_l=0.0368 scale=0.9944
Training: 1219231it [00:48,  7.57it/s]   FCA: α_attn_eff=1.5315 α_ffn_eff=2.5224 φ_l=0.0368 scale=0.9821
Training: 1219232it [00:48,  6.50it/s]   FCA: α_attn_eff=1.5404 α_ffn_eff=2.5369 φ_l=0.0368 scale=0.9878
Training: 1219233it [00:48,  6.91it/s]   FCA: α_attn_eff=1.5433 α_ffn_eff=2.5417 φ_l=0.0368 scale=0.9897
Training: 1219234it [00:48,  7.13it/s]   FCA: α_attn_eff=1.5418 α_ffn_eff=2.5393 φ_l=0.0368 scale=0.9887
Training: 1219235it [00:48,  7.29it/s]   FCA: α_attn_eff=1.5389 α_ffn_eff=2.5345 φ_l=0.0368 scale=0.9868
Training: 1219236it [00:49,  7.42it/s]   FCA: α_attn_eff=1.5536 α_ffn_eff=2.5586 φ_l=0.0368 scale=0.9962
Training: 1219237it [00:49,  7.46it/s]   FCA: α_attn_eff=1.5374 α_ffn_eff=2.5320 φ_l=0.0368 scale=0.9859
Training: 1219238it [00:49,  7.55it/s]   FCA: α_attn_eff=1.5404 α_ffn_eff=2.5369 φ_l=0.0368 scale=0.9878
Training: 1219239it [00:49,  7.54it/s]   FCA: α_attn_eff=1.5316 α_ffn_eff=2.5224 φ_l=0.0368 scale=0.9821
Training: 1219240it [00:49,  6.45it/s]   FCA: α_attn_eff=1.5404 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219241it [00:49,  6.92it/s]   FCA: α_attn_eff=1.5565 α_ffn_eff=2.5634 φ_l=0.0368 scale=0.9981
Training: 1219242it [00:49,  7.13it/s]   FCA: α_attn_eff=1.5389 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219243it [00:50,  7.27it/s]   FCA: α_attn_eff=1.5228 α_ffn_eff=2.5078 φ_l=0.0368 scale=0.9765
Training: 1219244it [00:50,  7.39it/s]   FCA: α_attn_eff=1.5419 α_ffn_eff=2.5392 φ_l=0.0368 scale=0.9887
Training: 1219245it [00:50,  7.41it/s]   FCA: α_attn_eff=1.5287 α_ffn_eff=2.5175 φ_l=0.0368 scale=0.9802
Training: 1219246it [00:50,  7.43it/s]   FCA: α_attn_eff=1.5404 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219247it [00:50,  7.50it/s]   FCA: α_attn_eff=1.5507 α_ffn_eff=2.5537 φ_l=0.0368 scale=0.9944
Training: 1219248it [00:50,  6.47it/s]   FCA: α_attn_eff=1.5434 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219249it [00:50,  6.91it/s]   FCA: α_attn_eff=1.5316 α_ffn_eff=2.5223 φ_l=0.0368 scale=0.9821
Training: 1219250it [00:51,  7.10it/s]   FCA: α_attn_eff=1.5096 α_ffn_eff=2.4860 φ_l=0.0368 scale=0.9680
Training: 1219251it [00:51,  7.27it/s]   FCA: α_attn_eff=1.5272 α_ffn_eff=2.5150 φ_l=0.0368 scale=0.9793
Training: 1219252it [00:51,  7.38it/s]   FCA: α_attn_eff=1.5214 α_ffn_eff=2.5054 φ_l=0.0368 scale=0.9755
Training: 1219253it [00:51,  7.44it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219254it [00:51,  7.54it/s]   FCA: α_attn_eff=1.5434 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219255it [00:51,  7.57it/s]   FCA: α_attn_eff=1.5170 α_ffn_eff=2.4981 φ_l=0.0368 scale=0.9727
Training: 1219256it [00:51,  6.49it/s]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5367 φ_l=0.0368 scale=0.9878
Training: 1219257it [00:52,  6.93it/s]   FCA: α_attn_eff=1.5302 α_ffn_eff=2.5198 φ_l=0.0368 scale=0.9812
Training: 1219258it [00:52,  7.16it/s]   FCA: α_attn_eff=1.5331 α_ffn_eff=2.5247 φ_l=0.0368 scale=0.9831
Training: 1219259it [00:52,  7.27it/s]   FCA: α_attn_eff=1.5361 α_ffn_eff=2.5295 φ_l=0.0368 scale=0.9849
Training: 1219260it [00:52,  7.35it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219261it [00:52,  7.45it/s]   FCA: α_attn_eff=1.5390 α_ffn_eff=2.5343 φ_l=0.0368 scale=0.9868
Training: 1219262it [00:52,  7.47it/s]   FCA: α_attn_eff=1.5434 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219263it [00:52,  7.54it/s]   FCA: α_attn_eff=1.5302 α_ffn_eff=2.5198 φ_l=0.0368 scale=0.9812
Training: 1219264it [00:53,  6.49it/s]   FCA: α_attn_eff=1.5420 α_ffn_eff=2.5391 φ_l=0.0368 scale=0.9887
Training: 1219265it [00:53,  6.96it/s]   FCA: α_attn_eff=1.5082 α_ffn_eff=2.4836 φ_l=0.0368 scale=0.9671
Training: 1219266it [00:53,  7.17it/s]   FCA: α_attn_eff=1.5493 α_ffn_eff=2.5512 φ_l=0.0368 scale=0.9934
Training: 1219267it [00:53,  7.34it/s]   FCA: α_attn_eff=1.5317 α_ffn_eff=2.5222 φ_l=0.0368 scale=0.9821
Training: 1219268it [00:53,  7.44it/s]   FCA: α_attn_eff=1.5449 α_ffn_eff=2.5440 φ_l=0.0368 scale=0.9906
Training: 1219269it [00:53,  7.52it/s]   FCA: α_attn_eff=1.5420 α_ffn_eff=2.5391 φ_l=0.0368 scale=0.9887
Training: 1219270it [00:53,  7.51it/s]   FCA: α_attn_eff=1.5508 α_ffn_eff=2.5536 φ_l=0.0368 scale=0.9944
Training: 1219271it [00:53,  7.56it/s]   FCA: α_attn_eff=1.5523 α_ffn_eff=2.5560 φ_l=0.0368 scale=0.9953
Training: 1219272it [00:54,  6.48it/s]   FCA: α_attn_eff=1.5391 α_ffn_eff=2.5343 φ_l=0.0368 scale=0.9868
Training: 1219273it [00:54,  6.91it/s]   FCA: α_attn_eff=1.5420 α_ffn_eff=2.5391 φ_l=0.0368 scale=0.9887
Training: 1219274it [00:54,  7.13it/s]   FCA: α_attn_eff=1.5406 α_ffn_eff=2.5367 φ_l=0.0368 scale=0.9878
Training: 1219275it [00:54,  7.29it/s]   FCA: α_attn_eff=1.5523 α_ffn_eff=2.5560 φ_l=0.0368 scale=0.9953
Training: 1219276it [00:54,  7.37it/s]   FCA: α_attn_eff=1.5391 α_ffn_eff=2.5343 φ_l=0.0368 scale=0.9868
Training: 1219277it [00:54,  7.47it/s]   FCA: α_attn_eff=1.5464 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219278it [00:54,  7.53it/s]   FCA: α_attn_eff=1.5494 α_ffn_eff=2.5512 φ_l=0.0368 scale=0.9934
Training: 1219279it [00:55,  7.55it/s]   FCA: α_attn_eff=1.5508 α_ffn_eff=2.5536 φ_l=0.0368 scale=0.9944
Training: 1219280it [00:55,  6.46it/s]   FCA: α_attn_eff=1.5333 α_ffn_eff=2.5246 φ_l=0.0368 scale=0.9831
Training: 1219281it [00:55,  6.89it/s]   FCA: α_attn_eff=1.5465 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219282it [00:55,  7.10it/s]   FCA: α_attn_eff=1.5421 α_ffn_eff=2.5391 φ_l=0.0368 scale=0.9887
Training: 1219283it [00:55,  7.27it/s]   FCA: α_attn_eff=1.5435 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219284it [00:55,  7.39it/s]   FCA: α_attn_eff=1.5274 α_ffn_eff=2.5150 φ_l=0.0368 scale=0.9793
Training: 1219285it [00:55,  7.42it/s]   FCA: α_attn_eff=1.5538 α_ffn_eff=2.5585 φ_l=0.0368 scale=0.9962
Training: 1219286it [00:56,  7.50it/s]   FCA: α_attn_eff=1.5289 α_ffn_eff=2.5174 φ_l=0.0368 scale=0.9802
Training: 1219287it [00:56,  7.52it/s]   FCA: α_attn_eff=1.5377 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219288it [00:56,  6.45it/s]   FCA: α_attn_eff=1.5494 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219289it [00:56,  6.90it/s]   FCA: α_attn_eff=1.5260 α_ffn_eff=2.5126 φ_l=0.0368 scale=0.9784
Training: 1219290it [00:56,  7.09it/s]   FCA: α_attn_eff=1.5494 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219291it [00:56,  7.26it/s]   FCA: α_attn_eff=1.5509 α_ffn_eff=2.5537 φ_l=0.0368 scale=0.9944
Training: 1219292it [00:56,  7.38it/s]   FCA: α_attn_eff=1.5421 α_ffn_eff=2.5392 φ_l=0.0368 scale=0.9887
Training: 1219293it [00:57,  7.45it/s]   FCA: α_attn_eff=1.5436 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219294it [00:57,  7.52it/s]   FCA: α_attn_eff=1.5494 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219295it [00:57,  7.59it/s]   FCA: α_attn_eff=1.5260 α_ffn_eff=2.5126 φ_l=0.0368 scale=0.9784
Training: 1219296it [00:57,  6.49it/s]   FCA: α_attn_eff=1.5451 α_ffn_eff=2.5440 φ_l=0.0368 scale=0.9906
Training: 1219297it [00:57,  6.93it/s]   FCA: α_attn_eff=1.5334 α_ffn_eff=2.5247 φ_l=0.0368 scale=0.9831
Training: 1219298it [00:57,  7.15it/s]   FCA: α_attn_eff=1.5466 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219299it [00:57,  7.31it/s]   FCA: α_attn_eff=1.5437 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219300it [00:57,  7.40it/s]   FCA: α_attn_eff=1.5583 α_ffn_eff=2.5658 φ_l=0.0368 scale=0.9991
Training: 1219301it [00:58,  7.49it/s]   FCA: α_attn_eff=1.5407 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219302it [00:58,  7.56it/s]   FCA: α_attn_eff=1.5363 α_ffn_eff=2.5295 φ_l=0.0368 scale=0.9849
Training: 1219303it [00:58,  7.59it/s]   FCA: α_attn_eff=1.5363 α_ffn_eff=2.5295 φ_l=0.0368 scale=0.9849
Training: 1219304it [00:58,  6.48it/s]   FCA: α_attn_eff=1.5496 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219305it [00:58,  6.94it/s]   FCA: α_attn_eff=1.5379 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219306it [00:58,  7.15it/s]   FCA: α_attn_eff=1.5291 α_ffn_eff=2.5175 φ_l=0.0368 scale=0.9802
Training: 1219307it [00:58,  7.30it/s]   FCA: α_attn_eff=1.5393 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219308it [00:59,  7.41it/s]   FCA: α_attn_eff=1.5100 α_ffn_eff=2.4860 φ_l=0.0368 scale=0.9680
Training: 1219309it [00:59,  7.50it/s]   FCA: α_attn_eff=1.5423 α_ffn_eff=2.5392 φ_l=0.0368 scale=0.9887
Training: 1219310it [00:59,  7.56it/s]   FCA: α_attn_eff=1.5452 α_ffn_eff=2.5440 φ_l=0.0368 scale=0.9906
Training: 1219311it [00:59,  7.57it/s]   FCA: α_attn_eff=1.5408 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219312it [00:59,  6.50it/s]   FCA: α_attn_eff=1.5320 α_ffn_eff=2.5223 φ_l=0.0368 scale=0.9821
Training: 1219313it [00:59,  6.96it/s]   FCA: α_attn_eff=1.5482 α_ffn_eff=2.5489 φ_l=0.0368 scale=0.9925
Training: 1219314it [00:59,  7.17it/s]   FCA: α_attn_eff=1.5511 α_ffn_eff=2.5537 φ_l=0.0368 scale=0.9944
Training: 1219315it [01:00,  7.31it/s]   FCA: α_attn_eff=1.5540 α_ffn_eff=2.5585 φ_l=0.0368 scale=0.9962
Training: 1219316it [01:00,  7.43it/s]   FCA: α_attn_eff=1.5467 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219317it [01:00,  7.48it/s]   FCA: α_attn_eff=1.5335 α_ffn_eff=2.5247 φ_l=0.0368 scale=0.9831
Training: 1219318it [01:00,  7.52it/s]   FCA: α_attn_eff=1.5467 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219319it [01:00,  7.53it/s]   FCA: α_attn_eff=1.5467 α_ffn_eff=2.5464 φ_l=0.0368 scale=0.9915
Training: 1219320it [01:00,  6.48it/s]   FCA: α_attn_eff=1.5394 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219321it [01:00,  6.94it/s]   FCA: α_attn_eff=1.5438 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219322it [01:01,  7.12it/s]   FCA: α_attn_eff=1.5540 α_ffn_eff=2.5585 φ_l=0.0368 scale=0.9962
Training: 1219323it [01:01,  7.30it/s]   FCA: α_attn_eff=1.5408 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219324it [01:01,  7.42it/s]   FCA: α_attn_eff=1.5452 α_ffn_eff=2.5440 φ_l=0.0368 scale=0.9906
Training: 1219325it [01:01,  7.48it/s]   FCA: α_attn_eff=1.5408 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219326it [01:01,  7.56it/s]   FCA: α_attn_eff=1.5526 α_ffn_eff=2.5561 φ_l=0.0368 scale=0.9953
Training: 1219327it [01:01,  7.57it/s]   FCA: α_attn_eff=1.5452 α_ffn_eff=2.5440 φ_l=0.0368 scale=0.9906
Training: 1219328it [01:01,  6.48it/s]   FCA: α_attn_eff=1.4983 α_ffn_eff=2.4667 φ_l=0.0368 scale=0.9605
Training: 1219329it [01:02,  6.91it/s]   FCA: α_attn_eff=1.5233 α_ffn_eff=2.5078 φ_l=0.0368 scale=0.9765
Training: 1219330it [01:02,  7.11it/s]   FCA: α_attn_eff=1.5233 α_ffn_eff=2.5078 φ_l=0.0368 scale=0.9765
Training: 1219331it [01:02,  7.25it/s]   FCA: α_attn_eff=1.5071 α_ffn_eff=2.4812 φ_l=0.0368 scale=0.9661
Training: 1219332it [01:02,  7.39it/s]   FCA: α_attn_eff=1.5526 α_ffn_eff=2.5561 φ_l=0.0368 scale=0.9953
Training: 1219333it [01:02,  7.47it/s]   FCA: α_attn_eff=1.5350 α_ffn_eff=2.5271 φ_l=0.0368 scale=0.9840
Training: 1219334it [01:02,  7.56it/s]   FCA: α_attn_eff=1.5497 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219335it [01:02,  7.59it/s]   FCA: α_attn_eff=1.5306 α_ffn_eff=2.5199 φ_l=0.0368 scale=0.9812
Training: 1219336it [01:03,  6.50it/s]   FCA: α_attn_eff=1.5440 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219337it [01:03,  6.92it/s]   FCA: α_attn_eff=1.5410 α_ffn_eff=2.5368 φ_l=0.0368 scale=0.9878
Training: 1219338it [01:03,  7.11it/s]   FCA: α_attn_eff=1.5425 α_ffn_eff=2.5392 φ_l=0.0368 scale=0.9887
Training: 1219339it [01:03,  7.27it/s]   FCA: α_attn_eff=1.5352 α_ffn_eff=2.5271 φ_l=0.0368 scale=0.9840
Training: 1219340it [01:03,  7.40it/s]   FCA: α_attn_eff=1.5396 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219341it [01:03,  7.44it/s]   FCA: α_attn_eff=1.5396 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219342it [01:03,  7.52it/s]   FCA: α_attn_eff=1.5308 α_ffn_eff=2.5199 φ_l=0.0368 scale=0.9812
Training: 1219343it [01:03,  7.52it/s]   FCA: α_attn_eff=1.5557 α_ffn_eff=2.5609 φ_l=0.0368 scale=0.9972
Training: 1219344it [01:04,  6.44it/s]   FCA: α_attn_eff=1.5382 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219345it [01:04,  6.88it/s]   FCA: α_attn_eff=1.5426 α_ffn_eff=2.5392 φ_l=0.0368 scale=0.9887
Training: 1219346it [01:04,  7.03it/s]   FCA: α_attn_eff=1.5441 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219347it [01:04,  7.18it/s]   FCA: α_attn_eff=1.5441 α_ffn_eff=2.5416 φ_l=0.0368 scale=0.9897
Training: 1219348it [01:04,  7.32it/s]   FCA: α_attn_eff=1.5500 α_ffn_eff=2.5513 φ_l=0.0368 scale=0.9934
Training: 1219349it [01:04,  7.37it/s]   FCA: α_attn_eff=1.5382 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219350it [01:04,  7.44it/s]   FCA: α_attn_eff=1.5382 α_ffn_eff=2.5319 φ_l=0.0368 scale=0.9859
Training: 1219351it [01:05,  7.51it/s]   FCA: α_attn_eff=1.5397 α_ffn_eff=2.5344 φ_l=0.0368 scale=0.9868
Training: 1219352it [01:05,  6.44it/s]   FCA: α_attn_eff=1.5486 α_ffn_eff=2.5488 φ_l=0.0368 scale=0.9925
